# Second position of the slider with the value 0.125

max-counts: 127
# counts: pixels
0: 0
1: 0.210482
2: 0.420964
3: 0.687044
4: 1.04844
5: 1.4138
6: 1.7752
7: 2.11673
8: 2.4543
9: 2.79583
10: 3.13737
11: 3.47891
12: 3.82044
13: 4.15801
14: 4.49954
15: 4.84108
16: 5.18262
17: 5.52415
18: 5.86172
19: 6.20326
20: 6.54479
21: 6.88633
22: 7.22786
23: 7.56543
24: 7.90697
25: 8.2485
26: 8.64167
27: 9.16588
28: 9.6901
29: 10.2143
30: 10.7385
31: 11.2667
32: 11.791
33: 12.3152
34: 12.8394
35: 13.3636
36: 13.8878
37: 14.412
38: 14.9402
39: 15.4645
40: 15.9887
41: 16.5129
42: 17.0371
43: 17.5613
44: 18.0855
45: 18.6098
46: 19.138
47: 19.6622
48: 20.1864
49: 20.7106
50: 21.2348
51: 21.7591
52: 22.2833
53: 22.8115
54: 23.3357
55: 23.8599
56: 24.3841
57: 24.9083
58: 25.4326
59: 25.9568
60: 26.485
61: 27.0092
62: 27.5334
63: 28.0576
64: 28.5818
65: 28.6289
66: 29.1445
67: 29.6602
68: 30.1797
69: 30.6953
70: 31.2109
71: 31.7266
72: 32.1758
73: 32.5078
74: 32.8398
75: 33.168
76: 33.5
77: 33.832
78: 34.1602
79: 34.4922
80: 34.8242
81: 35.1523
82: 35.4844
83: 35.8164
84: 36.1445
85: 36.4766
86: 36.8086
87: 37.1406
88: 37.4688
89: 37.8008
90: 38.1328
91: 38.4609
92: 38.793
93: 39.125
94: 39.4531
95: 39.7852
96: 40.1172
97: 40.4492
98: 40.7773
99: 41.1094
100: 41.4414
101: 41.7695
102: 42.1016
103: 42.4336
104: 42.7617
105: 43.0938
106: 43.4258
107: 43.7539
108: 44.0859
109: 44.418
110: 44.75
111: 45.0781
112: 45.4102
113: 45.7422
114: 46.0703
115: 46.4023
116: 46.7344
117: 47.0625
118: 47.3945
119: 47.7266
120: 48.0586
121: 48.3867
122: 48.7188
123: 49.0508
124: 49.3789
125: 49.7109
126: 50.043
127: 50.3711
