# Nineth position of the slider with the value 2.5

max-counts: 127
# counts: pixels
0: 0
1: 0.361393
2: 0.722786
3: 1.59251
4: 3.37565
5: 5.15482
6: 6.93796
7: 8.72109
8: 10.5003
9: 12.2834
10: 14.0626
11: 15.8457
12: 17.6249
13: 19.408
14: 21.1872
15: 22.9703
16: 24.7495
17: 26.5326
18: 28.3118
19: 29.6016
20: 31.3516
21: 33.1055
22: 34.8594
23: 36.6094
24: 38.3633
25: 40.1133
26: 42.582
27: 46.8672
28: 51.1523
29: 55.4414
30: 59.7266
31: 64.0117
32: 68.2969
33: 72.5859
34: 76.8711
35: 81.1562
36: 85.4414
37: 89.7305
38: 94.0156
39: 98.3008
40: 102.586
41: 106.875
42: 111.16
43: 115.445
44: 119.73
45: 124.02
46: 128.305
47: 132.59
48: 136.875
49: 141.16
50: 145.449
51: 149.734
52: 154.02
53: 158.305
54: 162.594
55: 166.879
56: 171.164
57: 175.449
58: 179.738
59: 184.023
60: 188.309
61: 192.594
62: 196.883
63: 201.168
64: 205.453
65: 209.738
66: 214.027
67: 218.312
68: 222.598
69: 226.883
70: 231.172
71: 235.457
72: 238.812
73: 240.504
74: 242.195
75: 243.887
76: 245.582
77: 247.273
78: 248.965
79: 250.656
80: 252.348
81: 254.039
82: 255.73
83: 257.422
84: 259.113
85: 260.809
86: 262.5
87: 264.191
88: 265.883
89: 267.574
90: 269.266
91: 270.957
92: 272.648
93: 274.34
94: 276.035
95: 277.727
96: 279.418
97: 281.109
98: 282.801
99: 284.492
100: 286.184
101: 287.875
102: 289.566
103: 291.262
104: 292.953
105: 294.645
106: 296.336
107: 298.027
108: 299.719
109: 301.41
110: 303.102
111: 304.793
112: 306.484
113: 308.18
114: 309.871
115: 311.562
116: 313.254
117: 314.945
118: 316.637
119: 318.328
120: 320.02
121: 321.711
122: 323.406
123: 325.098
124: 326.789
125: 328.48
126: 330.172
127: 331.863
